config,vulnerability,severity
JWT_SECRET_LENGTH=14;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1887,unknown,unknown
JWT_SECRET_LENGTH=23;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1888,unknown,unknown
JWT_SECRET_LENGTH=35;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1889,unknown,unknown
JWT_SECRET_LENGTH=25;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1890,unknown,unknown
JWT_SECRET_LENGTH=56;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1891,unknown,unknown
JWT_SECRET_LENGTH=8;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3692,unknown,unknown
JWT_SECRET_LENGTH=28;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=392,unknown,unknown
JWT_SECRET_LENGTH=40;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1894,unknown,unknown
JWT_SECRET_LENGTH=30;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1895,unknown,unknown
JWT_SECRET_LENGTH=61;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1896,unknown,unknown
JWT_SECRET_LENGTH=13;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1897,unknown,unknown
JWT_SECRET_LENGTH=17;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1898,unknown,unknown
JWT_SECRET_LENGTH=45;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3699,unknown,unknown
JWT_SECRET_LENGTH=35;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=399,unknown,unknown
JWT_SECRET_LENGTH=33;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1901,unknown,unknown
JWT_SECRET_LENGTH=7;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1902,unknown,unknown
JWT_SECRET_LENGTH=22;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1903,unknown,unknown
JWT_SECRET_LENGTH=33;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1904,unknown,unknown
JWT_SECRET_LENGTH=40;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1905,unknown,unknown
JWT_SECRET_LENGTH=38;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3706,unknown,unknown
JWT_SECRET_LENGTH=12;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=406,unknown,unknown
JWT_SECRET_LENGTH=27;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1908,unknown,unknown
JWT_SECRET_LENGTH=38;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1909,unknown,unknown
JWT_SECRET_LENGTH=24;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1910,unknown,unknown
JWT_SECRET_LENGTH=43;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1911,unknown,unknown
JWT_SECRET_LENGTH=6;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1912,unknown,unknown
JWT_SECRET_LENGTH=16;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=3713,unknown,unknown
JWT_SECRET_LENGTH=43;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=413,unknown,unknown
JWT_SECRET_LENGTH=29;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1915,unknown,unknown
JWT_SECRET_LENGTH=48;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1916,unknown,unknown
JWT_SECRET_LENGTH=11;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1917,unknown,unknown
JWT_SECRET_LENGTH=21;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1918,unknown,unknown
JWT_SECRET_LENGTH=48;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1919,unknown,unknown
JWT_SECRET_LENGTH=34;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3720,unknown,unknown
JWT_SECRET_LENGTH=53;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=420,unknown,unknown
JWT_SECRET_LENGTH=5;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1922,unknown,unknown
JWT_SECRET_LENGTH=26;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1923,unknown,unknown
JWT_SECRET_LENGTH=36;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1924,unknown,unknown
JWT_SECRET_LENGTH=39;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1925,unknown,unknown
JWT_SECRET_LENGTH=58;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1926,unknown,unknown
JWT_SECRET_LENGTH=10;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3727,unknown,unknown
JWT_SECRET_LENGTH=31;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=427,unknown,unknown
JWT_SECRET_LENGTH=41;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1929,unknown,unknown
JWT_SECRET_LENGTH=23;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1930,unknown,unknown
JWT_SECRET_LENGTH=63;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1931,unknown,unknown
JWT_SECRET_LENGTH=15;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1932,unknown,unknown
JWT_SECRET_LENGTH=20;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1933,unknown,unknown
JWT_SECRET_LENGTH=46;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3734,unknown,unknown
JWT_SECRET_LENGTH=28;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=434,unknown,unknown
JWT_SECRET_LENGTH=35;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1936,unknown,unknown
JWT_SECRET_LENGTH=9;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1937,unknown,unknown
JWT_SECRET_LENGTH=25;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1938,unknown,unknown
JWT_SECRET_LENGTH=34;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1939,unknown,unknown
JWT_SECRET_LENGTH=33;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1940,unknown,unknown
JWT_SECRET_LENGTH=40;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=3741,unknown,unknown
JWT_SECRET_LENGTH=14;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=441,unknown,unknown
JWT_SECRET_LENGTH=30;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1943,unknown,unknown
JWT_SECRET_LENGTH=39;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1944,unknown,unknown
JWT_SECRET_LENGTH=38;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1945,unknown,unknown
JWT_SECRET_LENGTH=45;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1946,unknown,unknown
JWT_SECRET_LENGTH=8;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1947,unknown,unknown
JWT_SECRET_LENGTH=19;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3748,unknown,unknown
JWT_SECRET_LENGTH=44;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=448,unknown,unknown
JWT_SECRET_LENGTH=22;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1950,unknown,unknown
JWT_SECRET_LENGTH=50;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1951,unknown,unknown
JWT_SECRET_LENGTH=13;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1952,unknown,unknown
JWT_SECRET_LENGTH=24;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1953,unknown,unknown
JWT_SECRET_LENGTH=32;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1954,unknown,unknown
JWT_SECRET_LENGTH=27;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3755,unknown,unknown
JWT_SECRET_LENGTH=55;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=455,unknown,unknown
JWT_SECRET_LENGTH=7;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1957,unknown,unknown
JWT_SECRET_LENGTH=29;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1958,unknown,unknown
JWT_SECRET_LENGTH=37;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1959,unknown,unknown
JWT_SECRET_LENGTH=32;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1960,unknown,unknown
JWT_SECRET_LENGTH=60;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1961,unknown,unknown
JWT_SECRET_LENGTH=12;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3762,unknown,unknown
JWT_SECRET_LENGTH=18;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=462,unknown,unknown
JWT_SECRET_LENGTH=42;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1964,unknown,unknown
JWT_SECRET_LENGTH=37;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1965,unknown,unknown
JWT_SECRET_LENGTH=32;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1966,unknown,unknown
JWT_SECRET_LENGTH=6;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1967,unknown,unknown
JWT_SECRET_LENGTH=23;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1968,unknown,unknown
JWT_SECRET_LENGTH=47;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=3769,unknown,unknown
JWT_SECRET_LENGTH=21;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=469,unknown,unknown
JWT_SECRET_LENGTH=37;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1971,unknown,unknown
JWT_SECRET_LENGTH=11;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1972,unknown,unknown
JWT_SECRET_LENGTH=28;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1973,unknown,unknown
JWT_SECRET_LENGTH=35;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1974,unknown,unknown
JWT_SECRET_LENGTH=26;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1975,unknown,unknown
JWT_SECRET_LENGTH=42;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3776,unknown,unknown
JWT_SECRET_LENGTH=5;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=476,unknown,unknown
JWT_SECRET_LENGTH=17;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1978,unknown,unknown
JWT_SECRET_LENGTH=40;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1979,unknown,unknown
JWT_SECRET_LENGTH=31;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1980,unknown,unknown
JWT_SECRET_LENGTH=47;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1981,unknown,unknown
JWT_SECRET_LENGTH=10;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1982,unknown,unknown
JWT_SECRET_LENGTH=22;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3783,unknown,unknown
JWT_SECRET_LENGTH=45;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=483,unknown,unknown
JWT_SECRET_LENGTH=36;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1985,unknown,unknown
JWT_SECRET_LENGTH=52;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1986,unknown,unknown
JWT_SECRET_LENGTH=15;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1987,unknown,unknown
JWT_SECRET_LENGTH=27;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1988,unknown,unknown
JWT_SECRET_LENGTH=33;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1989,unknown,unknown
JWT_SECRET_LENGTH=20;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3790,unknown,unknown
JWT_SECRET_LENGTH=57;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=490,unknown,unknown
JWT_SECRET_LENGTH=9;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1992,unknown,unknown
JWT_SECRET_LENGTH=16;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1993,unknown,unknown
JWT_SECRET_LENGTH=38;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1994,unknown,unknown
JWT_SECRET_LENGTH=25;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1995,unknown,unknown
JWT_SECRET_LENGTH=62;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1996,unknown,unknown
JWT_SECRET_LENGTH=14;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=3797,unknown,unknown
JWT_SECRET_LENGTH=21;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=497,unknown,unknown
JWT_SECRET_LENGTH=43;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1999,unknown,unknown
JWT_SECRET_LENGTH=30;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=2000,unknown,unknown
JWT_SECRET_LENGTH=34;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=2001,unknown,unknown
