jwt_secret_length,cookie_secure,cookie_httponly,session_timeout,vulnerability,severity
11,0,1,1972,weak_jwt_secret,high
28,1,0,1973,missing_httponly,medium
35,1,1,1974,none,low
26,0,1,1975,insecure_cookie,high
42,1,1,3776,long_session,medium
5,1,0,476,weak_jwt_secret,high
17,0,1,1978,insecure_cookie,high
40,1,1,1979,none,low
31,1,1,1980,none,low
47,0,0,1981,insecure_cookie,high
10,1,1,1982,weak_jwt_secret,high
22,1,1,3783,long_session,medium
45,0,1,483,insecure_cookie,high
36,1,0,1985,missing_httponly,medium
52,1,1,1986,none,low
15,0,1,1987,weak_jwt_secret,high
27,1,1,1988,none,low
33,1,0,1989,missing_httponly,medium
20,0,1,3790,insecure_cookie,high
57,1,1,490,none,low
9,1,1,1992,weak_jwt_secret,high
16,0,0,1993,insecure_cookie,high
38,1,1,1994,none,low
25,1,1,1995,none,low
62,0,1,1996,insecure_cookie,high
14,1,0,3797,weak_jwt_secret,high
21,1,1,497,none,low
43,0,1,1999,insecure_cookie,high
30,1,1,2000,none,low
34,1,0,2001,missing_httponly,medium
8,0,1,2002,weak_jwt_secret,high
26,1,1,2003,none,low
48,1,1,3804,long_session,medium
35,0,0,504,insecure_cookie,high
39,1,1,2006,none,low
13,1,1,2007,weak_jwt_secret,high
31,0,1,2008,insecure_cookie,high
36,1,0,2009,missing_httponly,medium
40,1,1,2010,none,low
44,0,1,3811,insecure_cookie,high
7,1,1,511,weak_jwt_secret,high
20,1,0,2013,missing_httponly,medium
41,0,1,2014,insecure_cookie,high
24,1,1,2015,none,low
49,1,1,2016,none,low
12,0,0,2017,weak_jwt_secret,high
25,1,1,3818,long_session,medium
46,1,1,518,none,low
29,0,1,2020,insecure_cookie,high
54,1,0,2021,missing_httponly,medium
6,1,1,2022,weak_jwt_secret,high
30,0,1,2023,insecure_cookie,high
34,1,1,2024,none,low
34,1,0,3825,missing_httponly,medium
59,0,1,525,insecure_cookie,high
11,1,1,2027,weak_jwt_secret,high
19,1,1,2028,none,low
39,0,0,2029,insecure_cookie,high
39,1,1,2030,none,low
64,1,1,2031,none,low
5,0,1,3832,weak_jwt_secret,high
24,1,0,532,missing_httponly,medium
44,1,1,2034,none,low
23,0,1,2035,insecure_cookie,high
36,1,1,2036,none,low
10,1,0,2037,weak_jwt_secret,high
29,0,1,2038,insecure_cookie,high
32,1,1,3839,long_session,medium
28,1,1,539,none,low
41,0,0,2041,insecure_cookie,high
15,1,1,2042,weak_jwt_secret,high
18,1,1,2043,none,low
37,0,1,2044,insecure_cookie,high
33,1,0,2045,missing_httponly,medium
46,1,1,3846,long_session,medium
9,0,1,546,weak_jwt_secret,high
23,1,1,2048,none,low
42,1,0,2049,missing_httponly,medium
38,0,1,2050,insecure_cookie,high
51,1,1,2051,none,low
14,1,1,2052,weak_jwt_secret,high
28,0,0,3853,insecure_cookie,high
47,1,1,553,none,low
22,1,1,2055,none,low
56,0,1,2056,insecure_cookie,high
8,1,0,2057,weak_jwt_secret,high
17,1,1,2058,none,low
35,0,1,2059,insecure_cookie,high
27,1,1,3860,long_session,medium
61,1,0,560,missing_httponly,medium
13,0,1,2062,weak_jwt_secret,high
22,1,1,2063,none,low
40,1,1,2064,none,low
32,0,0,2065,insecure_cookie,high
33,1,1,2066,none,low
7,1,1,3867,weak_jwt_secret,high
27,0,1,567,insecure_cookie,high
45,1,0,2069,missing_httponly,medium
37,1,1,2070,none,low
38,0,1,2071,insecure_cookie,high
12,1,1,2072,weak_jwt_secret,high
16,1,0,2073,missing_httponly,medium
33,0,1,3874,insecure_cookie,high
21,1,1,574,none,low
43,1,1,2076,none,low
6,0,0,2077,weak_jwt_secret,high
21,1,1,2078,none,low
38,1,1,2079,none,low
26,0,1,2080,insecure_cookie,high
48,1,0,3881,missing_httponly,medium
11,1,1,581,weak_jwt_secret,high
26,0,1,2083,insecure_cookie,high
43,1,1,2084,none,low
31,1,0,2085,missing_httponly,medium
53,0,1,2086,insecure_cookie,high
5,1,1,2087,weak_jwt_secret,high
31,1,1,3888,long_session,medium
48,0,0,588,insecure_cookie,high
36,1,1,2090,none,low
58,1,1,2091,none,low
10,0,1,2092,weak_jwt_secret,high
20,1,0,2093,missing_httponly,medium
36,1,1,2094,none,low
20,0,1,3895,insecure_cookie,high
63,1,1,595,none,low
15,1,0,2097,weak_jwt_secret,high
25,0,1,2098,insecure_cookie,high
41,1,1,2099,none,low
25,1,1,2100,none,low
35,0,0,2101,insecure_cookie,high
9,1,1,3902,weak_jwt_secret,high
30,1,1,602,none,low
46,0,1,2104,insecure_cookie,high
30,1,0,2105,missing_httponly,medium
40,1,1,2106,none,low
14,0,1,2107,weak_jwt_secret,high
19,1,1,2108,none,low
34,1,0,3909,missing_httponly,medium
35,0,1,609,insecure_cookie,high
45,1,1,2111,none,low
8,1,1,2112,weak_jwt_secret,high
24,0,0,2113,insecure_cookie,high
39,1,1,2114,none,low
40,1,1,2115,none,low
50,0,1,3916,insecure_cookie,high
13,1,0,616,weak_jwt_secret,high
29,1,1,2118,none,low
44,0,1,2119,insecure_cookie,high
24,1,1,2120,none,low
55,1,0,2121,missing_httponly,medium
7,0,1,2122,weak_jwt_secret,high
18,1,1,3923,long_session,medium
32,1,1,623,none,low
29,0,0,2125,insecure_cookie,high
60,1,1,2126,none,low
12,1,1,2127,weak_jwt_secret,high
23,0,1,2128,insecure_cookie,high
37,1,0,2129,missing_httponly,medium
34,1,1,3930,long_session,medium
32,0,1,630,insecure_cookie,high
6,1,1,2132,weak_jwt_secret,high
28,1,0,2133,missing_httponly,medium
42,0,1,2134,insecure_cookie,high
39,1,1,2135,none,low
37,1,1,2136,none,low
11,0,0,3937,weak_jwt_secret,high
17,1,1,637,none,low
47,1,1,2139,none,low
23,0,1,2140,insecure_cookie,high
42,1,0,2141,missing_httponly,medium
5,1,1,2142,weak_jwt_secret,high
22,0,1,2143,insecure_cookie,high
35,1,1,3944,long_session,medium
28,1,0,644,missing_httponly,medium
47,0,1,2146,insecure_cookie,high
10,1,1,2147,weak_jwt_secret,high
27,1,1,2148,none,low
40,0,0,2149,insecure_cookie,high
33,1,1,2150,none,low
52,1,1,3951,long_session,medium
15,0,1,651,weak_jwt_secret,high
16,1,0,2153,missing_httponly,medium
45,1,1,2154,none,low
38,0,1,2155,insecure_cookie,high
57,1,1,2156,none,low
9,1,0,2157,weak_jwt_secret,high
21,0,1,3958,insecure_cookie,high
33,1,1,658,none,low
22,1,1,2160,none,low
62,0,0,2161,insecure_cookie,high
14,1,1,2162,weak_jwt_secret,high
26,1,1,2163,none,low
38,0,1,2164,insecure_cookie,high
27,1,0,3965,missing_httponly,medium
34,1,1,665,none,low
8,0,1,2167,weak_jwt_secret,high
31,1,1,2168,none,low
43,1,0,2169,missing_httponly,medium
32,0,1,2170,insecure_cookie,high
39,1,1,2171,none,low
13,1,1,3972,weak_jwt_secret,high
20,0,0,672,insecure_cookie,high
48,1,1,2174,none,low
37,1,1,2175,none,low
44,0,1,2176,insecure_cookie,high
7,1,0,2177,weak_jwt_secret,high
25,1,1,2178,none,low
36,0,1,3979,insecure_cookie,high
21,1,1,679,none,low
49,1,0,2181,missing_httponly,medium
12,0,1,2182,weak_jwt_secret,high
30,1,1,2183,none,low
41,1,1,2184,none,low
26,0,0,2185,insecure_cookie,high
54,1,1,3986,long_session,medium
6,1,1,686,weak_jwt_secret,high
19,0,1,2188,insecure_cookie,high
46,1,0,2189,missing_httponly,medium
31,1,1,2190,none,low
59,0,1,2191,insecure_cookie,high
11,1,1,2192,weak_jwt_secret,high
24,1,0,3993,missing_httponly,medium
34,0,1,693,insecure_cookie,high
36,1,1,2195,none,low
64,1,1,2196,none,low
5,0,0,2197,weak_jwt_secret,high
29,1,1,2198,none,low
39,1,1,2199,none,low
20,0,1,4000,insecure_cookie,high
36,1,0,700,missing_httponly,medium
10,1,1,2202,weak_jwt_secret,high
18,0,1,2203,insecure_cookie,high
44,1,1,2204,none,low
25,1,0,2205,missing_httponly,medium
41,0,1,2206,insecure_cookie,high
15,1,1,4007,weak_jwt_secret,high
23,1,1,707,none,low
32,0,0,2209,insecure_cookie,high
30,1,1,2210,none,low
46,1,1,2211,none,low
9,0,1,2212,weak_jwt_secret,high
28,1,0,2213,missing_httponly,medium
37,1,1,4014,long_session,medium
35,0,1,714,insecure_cookie,high
51,1,1,2216,none,low
14,1,0,2217,weak_jwt_secret,high
17,0,1,2218,insecure_cookie,high
42,1,1,2219,none,low
40,1,1,2220,none,low
56,0,0,4021,insecure_cookie,high
8,1,1,721,weak_jwt_secret,high
22,1,1,2223,none,low
47,0,1,2224,insecure_cookie,high
24,1,0,2225,missing_httponly,medium
61,1,1,2226,none,low
13,0,1,2227,weak_jwt_secret,high
27,1,1,4028,long_session,medium
35,1,0,728,missing_httponly,medium
29,0,1,2230,insecure_cookie,high
33,1,1,2231,none,low
7,1,1,2232,weak_jwt_secret,high
16,0,0,2233,insecure_cookie,high
40,1,1,2234,none,low
34,1,1,4035,long_session,medium
38,0,1,735,insecure_cookie,high
12,1,0,2237,weak_jwt_secret,high
21,1,1,2238,none,low
45,0,1,2239,insecure_cookie,high
39,1,1,2240,none,low
43,1,0,2241,missing_httponly,medium
6,0,1,4042,weak_jwt_secret,high
26,1,1,742,none,low
33,1,1,2244,none,low
23,0,0,2245,insecure_cookie,high
48,1,1,2246,none,low
11,1,1,2247,weak_jwt_secret,high
31,0,1,2248,insecure_cookie,high
38,1,0,4049,missing_httponly,medium
28,1,1,749,none,low
53,0,1,2251,insecure_cookie,high
5,1,1,2252,weak_jwt_secret,high
20,1,0,2253,missing_httponly,medium
43,0,1,2254,insecure_cookie,high
33,1,1,2255,none,low
58,1,1,4056,long_session,medium
10,0,0,756,weak_jwt_secret,high
25,1,1,2258,none,low
48,1,1,2259,none,low
38,0,1,2260,insecure_cookie,high
63,1,0,2261,missing_httponly,medium
15,1,1,2262,weak_jwt_secret,high
30,0,1,4063,insecure_cookie,high
36,1,1,763,none,low
22,1,0,2265,missing_httponly,medium
35,0,1,2266,insecure_cookie,high
9,1,1,2267,weak_jwt_secret,high
19,1,1,2268,none,low
41,0,0,2269,insecure_cookie,high
27,1,1,4070,long_session,medium
40,1,1,770,none,low
14,0,1,2272,weak_jwt_secret,high
24,1,0,2273,missing_httponly,medium
46,1,1,2274,none,low
32,0,1,2275,insecure_cookie,high
45,1,1,2276,none,low
8,1,0,4077,weak_jwt_secret,high
29,0,1,777,insecure_cookie,high
34,1,1,2279,none,low
37,1,1,2280,none,low
50,0,0,2281,insecure_cookie,high
13,1,1,2282,weak_jwt_secret,high
18,1,1,2283,none,low
39,0,1,4084,insecure_cookie,high
21,1,0,784,missing_httponly,medium
55,1,1,2286,none,low
7,0,1,2287,weak_jwt_secret,high
23,1,1,2288,none,low
44,1,0,2289,missing_httponly,medium
26,0,1,2290,insecure_cookie,high
60,1,1,4091,long_session,medium
12,1,1,791,weak_jwt_secret,high
28,0,0,2293,insecure_cookie,high
32,1,1,2294,none,low
31,1,1,2295,none,low
32,0,1,2296,insecure_cookie,high
6,1,0,2297,weak_jwt_secret,high
17,1,1,4098,long_session,medium
37,0,1,798,insecure_cookie,high
36,1,1,2300,none,low
37,1,0,2301,missing_httponly,medium
11,0,1,2302,weak_jwt_secret,high
22,1,1,2303,none,low
42,1,1,2304,none,low
20,0,0,4105,insecure_cookie,high
42,1,1,805,none,low
5,1,1,2307,weak_jwt_secret,high
27,0,1,2308,insecure_cookie,high
47,1,0,2309,missing_httponly,medium
25,1,1,2310,none,low
47,0,1,2311,insecure_cookie,high
10,1,1,4112,weak_jwt_secret,high
16,1,0,812,missing_httponly,medium
35,0,1,2314,insecure_cookie,high
30,1,1,2315,none,low
52,1,1,2316,none,low
15,0,0,2317,weak_jwt_secret,high
21,1,1,2318,none,low
40,1,1,4119,long_session,medium
35,0,1,819,insecure_cookie,high
57,1,0,2321,missing_httponly,medium
9,1,1,2322,weak_jwt_secret,high
26,0,1,2323,insecure_cookie,high
45,1,1,2324,none,low
40,1,0,2325,missing_httponly,medium
62,0,1,4126,insecure_cookie,high
14,1,1,826,weak_jwt_secret,high
31,1,1,2328,none,low
33,0,0,2329,insecure_cookie,high
24,1,1,2330,none,low
34,1,1,2331,none,low
8,0,1,2332,weak_jwt_secret,high
20,1,0,4133,missing_httponly,medium
38,1,1,833,none,low
29,0,1,2335,insecure_cookie,high
39,1,1,2336,none,low
13,1,0,2337,weak_jwt_secret,high
25,0,1,2338,insecure_cookie,high
43,1,1,2339,none,low
34,1,1,4140,long_session,medium
44,0,0,840,insecure_cookie,high
7,1,1,2342,weak_jwt_secret,high
30,1,1,2343,none,low
48,0,1,2344,insecure_cookie,high
39,1,0,2345,missing_httponly,medium
49,1,1,2346,none,low
12,0,1,4147,weak_jwt_secret,high
19,1,1,847,none,low
36,1,0,2349,missing_httponly,medium
23,0,1,2350,insecure_cookie,high
54,1,1,2351,none,low
6,1,1,2352,weak_jwt_secret,high
24,0,0,2353,insecure_cookie,high
41,1,1,4154,long_session,medium
28,1,1,854,none,low
59,0,1,2356,insecure_cookie,high
11,1,0,2357,weak_jwt_secret,high
29,1,1,2358,none,low
46,0,1,2359,insecure_cookie,high
33,1,1,2360,none,low
64,1,0,4161,missing_httponly,medium
5,0,1,861,weak_jwt_secret,high
18,1,1,2363,none,low
34,1,1,2364,none,low
38,0,0,2365,insecure_cookie,high
36,1,1,2366,none,low
10,1,1,2367,weak_jwt_secret,high
23,0,1,4168,insecure_cookie,high
39,1,0,868,missing_httponly,medium
22,1,1,2370,none,low
41,0,1,2371,insecure_cookie,high
15,1,1,2372,weak_jwt_secret,high
28,1,0,2373,missing_httponly,medium
44,0,1,2374,insecure_cookie,high
27,1,1,4175,long_session,medium
46,1,1,875,none,low
9,0,0,2377,weak_jwt_secret,high
17,1,1,2378,none,low
32,1,1,2379,none,low
32,0,1,2380,insecure_cookie,high
51,1,0,2381,missing_httponly,medium
14,1,1,4182,weak_jwt_secret,high
22,0,1,882,insecure_cookie,high
37,1,1,2384,none,low
37,1,0,2385,missing_httponly,medium
56,0,1,2386,insecure_cookie,high
8,1,1,2387,weak_jwt_secret,high
27,1,1,2388,none,low
42,0,0,4189,insecure_cookie,high
21,1,1,889,none,low
61,1,1,2391,none,low
13,0,1,2392,weak_jwt_secret,high
16,1,0,2393,missing_httponly,medium
47,1,1,2394,none,low
26,0,1,2395,insecure_cookie,high
33,1,1,4196,long_session,medium
7,1,0,896,weak_jwt_secret,high
21,0,1,2398,insecure_cookie,high
35,1,1,2399,none,low
31,1,1,2400,none,low
38,0,0,2401,insecure_cookie,high
12,1,1,2402,weak_jwt_secret,high
26,1,1,4203,long_session,medium
40,0,1,903,insecure_cookie,high
36,1,0,2405,missing_httponly,medium
43,1,1,2406,none,low
6,0,1,2407,weak_jwt_secret,high
31,1,1,2408,none,low
45,1,0,2409,missing_httponly,medium
20,0,1,4210,insecure_cookie,high
48,1,1,910,none,low
11,1,1,2412,weak_jwt_secret,high
20,0,0,2413,insecure_cookie,high
33,1,1,2414,none,low
25,1,1,2415,none,low
53,0,1,2416,insecure_cookie,high
5,1,0,4217,weak_jwt_secret,high
25,1,1,917,none,low
38,0,1,2419,insecure_cookie,high
30,1,1,2420,none,low
58,1,0,2421,missing_httponly,medium
10,0,1,2422,weak_jwt_secret,high
30,1,1,2423,none,low
43,1,1,4224,long_session,medium
35,0,0,924,insecure_cookie,high
63,1,1,2426,none,low
15,1,1,2427,weak_jwt_secret,high
19,0,1,2428,insecure_cookie,high
48,1,0,2429,missing_httponly,medium
40,1,1,2430,none,low
35,0,1,4231,insecure_cookie,high
9,1,1,931,weak_jwt_secret,high
24,1,0,2433,missing_httponly,medium
36,0,1,2434,insecure_cookie,high
24,1,1,2435,none,low
40,1,1,2436,none,low
14,0,0,2437,weak_jwt_secret,high
29,1,1,4238,long_session,medium
41,1,1,938,none,low
29,0,1,2440,insecure_cookie,high
45,1,0,2441,missing_httponly,medium
8,1,1,2442,weak_jwt_secret,high
18,0,1,2443,insecure_cookie,high
46,1,1,2444,none,low
34,1,0,4245,missing_httponly,medium
50,0,1,945,insecure_cookie,high
13,1,1,2447,weak_jwt_secret,high
23,1,1,2448,none,low
34,0,0,2449,insecure_cookie,high
39,1,1,2450,none,low
55,1,1,2451,none,low
7,0,1,4252,weak_jwt_secret,high
28,1,0,952,missing_httponly,medium
39,1,1,2454,none,low
23,0,1,2455,insecure_cookie,high
60,1,1,2456,none,low
12,1,0,2457,weak_jwt_secret,high
17,0,1,2458,insecure_cookie,high
44,1,1,4259,long_session,medium
28,1,1,959,none,low
32,0,0,2461,insecure_cookie,high
6,1,1,2462,weak_jwt_secret,high
22,1,1,2463,none,low
32,0,1,2464,insecure_cookie,high
33,1,0,2465,missing_httponly,medium
37,1,1,4266,long_session,medium
11,0,1,966,weak_jwt_secret,high
27,1,1,2468,none,low
37,1,0,2469,missing_httponly,medium
38,0,1,2470,insecure_cookie,high
42,1,1,2471,none,low
5,1,1,2472,weak_jwt_secret,high
16,0,0,4273,insecure_cookie,high
42,1,1,973,none,low
22,1,1,2475,none,low
47,0,1,2476,insecure_cookie,high
10,1,0,2477,weak_jwt_secret,high
21,1,1,2478,none,low
47,0,1,2479,insecure_cookie,high
27,1,1,4280,long_session,medium
52,1,0,980,missing_httponly,medium
15,0,1,2482,weak_jwt_secret,high
26,1,1,2483,none,low
35,1,1,2484,none,low
32,0,0,2485,insecure_cookie,high
57,1,1,2486,none,low
9,1,1,4287,weak_jwt_secret,high
31,0,1,987,insecure_cookie,high
40,1,0,2489,missing_httponly,medium
37,1,1,2490,none,low
62,0,1,2491,insecure_cookie,high
14,1,1,2492,weak_jwt_secret,high
20,1,0,2493,missing_httponly,medium
45,0,1,4294,insecure_cookie,high
21,1,1,994,none,low
34,1,1,2496,none,low
8,0,0,2497,weak_jwt_secret,high
25,1,1,2498,none,low
33,1,1,2499,none,low
26,0,1,2500,insecure_cookie,high
39,1,0,4301,missing_httponly,medium
13,1,1,1001,weak_jwt_secret,high
30,0,1,2503,insecure_cookie,high
38,1,1,2504,none,low
31,1,0,2505,missing_httponly,medium
44,0,1,2506,insecure_cookie,high
7,1,1,2507,weak_jwt_secret,high
19,1,1,4308,long_session,medium
43,0,0,1008,insecure_cookie,high
36,1,1,2510,none,low
49,1,1,2511,none,low
12,0,1,2512,weak_jwt_secret,high
24,1,0,2513,missing_httponly,medium
48,1,1,2514,none,low
20,0,1,4315,insecure_cookie,high
54,1,1,1015,none,low
6,1,0,2517,weak_jwt_secret,high
29,0,1,2518,insecure_cookie,high
36,1,1,2519,none,low
25,1,1,2520,none,low
59,0,0,2521,insecure_cookie,high
11,1,1,4322,weak_jwt_secret,high
18,1,1,1022,none,low
41,0,1,2524,insecure_cookie,high
30,1,0,2525,missing_httponly,medium
64,1,1,2526,none,low
5,0,1,2527,weak_jwt_secret,high
23,1,1,2528,none,low
46,1,0,4329,missing_httponly,medium
35,0,1,1029,insecure_cookie,high
36,1,1,2531,none,low
10,1,1,2532,weak_jwt_secret,high
28,0,0,2533,insecure_cookie,high
34,1,1,2534,none,low
40,1,1,2535,none,low
41,0,1,4336,insecure_cookie,high
15,1,0,1036,weak_jwt_secret,high
17,1,1,2538,none,low
39,0,1,2539,insecure_cookie,high
24,1,1,2540,none,low
46,1,0,2541,missing_httponly,medium
9,0,1,2542,weak_jwt_secret,high
22,1,1,4343,long_session,medium
44,1,1,1043,none,low
29,0,0,2545,insecure_cookie,high
51,1,1,2546,none,low
14,1,1,2547,weak_jwt_secret,high
27,0,1,2548,insecure_cookie,high
32,1,0,2549,missing_httponly,medium
34,1,1,4350,long_session,medium
56,0,1,1050,insecure_cookie,high
8,1,1,2552,weak_jwt_secret,high
16,1,0,2553,missing_httponly,medium
37,0,1,2554,insecure_cookie,high
39,1,1,2555,none,low
61,1,1,2556,none,low
13,0,0,4357,weak_jwt_secret,high
21,1,1,1057,none,low
42,1,1,2559,none,low
23,0,1,2560,insecure_cookie,high
33,1,0,2561,missing_httponly,medium
7,1,1,2562,weak_jwt_secret,high
26,0,1,2563,insecure_cookie,high
47,1,1,4364,long_session,medium
28,1,0,1064,missing_httponly,medium
38,0,1,2566,insecure_cookie,high
12,1,1,2567,weak_jwt_secret,high
31,1,1,2568,none,low
35,0,0,2569,insecure_cookie,high
33,1,1,2570,none,low
43,1,1,4371,long_session,medium
6,0,1,1071,weak_jwt_secret,high
20,1,0,2573,missing_httponly,medium
40,1,1,2574,none,low
38,0,1,2575,insecure_cookie,high
48,1,1,2576,none,low
11,1,0,2577,weak_jwt_secret,high
25,0,1,4378,insecure_cookie,high
45,1,1,1078,none,low
22,1,1,2580,none,low
53,0,0,2581,insecure_cookie,high
5,1,1,2582,weak_jwt_secret,high
30,1,1,2583,none,low
33,0,1,2584,insecure_cookie,high
27,1,0,4385,missing_httponly,medium
58,1,1,1085,none,low
10,0,1,2587,weak_jwt_secret,high
19,1,1,2588,none,low
38,1,0,2589,missing_httponly,medium
32,0,1,2590,insecure_cookie,high
63,1,1,2591,none,low
15,1,1,4392,weak_jwt_secret,high
24,0,0,1092,insecure_cookie,high
43,1,1,2594,none,low
37,1,1,2595,none,low
35,0,1,2596,insecure_cookie,high
9,1,0,2597,weak_jwt_secret,high
29,1,1,2598,none,low
48,0,1,4399,insecure_cookie,high
21,1,1,1099,none,low
40,1,0,2601,missing_httponly,medium
14,0,1,2602,weak_jwt_secret,high
18,1,1,2603,none,low
36,1,1,2604,none,low
26,0,0,2605,insecure_cookie,high
45,1,1,4406,long_session,medium
8,1,1,1106,weak_jwt_secret,high
23,0,1,2608,insecure_cookie,high
41,1,0,2609,missing_httponly,medium
31,1,1,2610,none,low
50,0,1,2611,insecure_cookie,high
13,1,1,2612,weak_jwt_secret,high
28,1,0,4413,missing_httponly,medium
46,0,1,1113,insecure_cookie,high
36,1,1,2615,none,low
55,1,1,2616,none,low
7,0,0,2617,weak_jwt_secret,high
